,#,Xc1.A,Xc1.R,Xc1.N,Xc1.D,Xc1.C,Xc1.Q,Xc1.E,Xc1.G,Xc1.H,Xc1.I,Xc1.L,Xc1.K,Xc1.M,Xc1.F,Xc1.P,Xc1.S,Xc1.T,Xc1.W,Xc1.Y,Xc1.V,Xc2.lambda1,Xc2.lambda2,Xc2.lambda3,Xc2.lambda4,Xc2.lambda5,Xc2.lambda6,Xc2.lambda7,Xc2.lambda8,Xc2.lambda9,Xc2.lambda10,Xc2.lambda11,Xc2.lambda12,Xc2.lambda13,Xc2.lambda14
1712,AYR18473@N,42.550795513239954,24.51295828480128,48.10089927583647,27.750518812982577,20.35038046285389,32.83811392869605,22.200415050386063,41.625778219473865,7.862646997011731,31.913096634929964,55.501037625965154,19.887871815970847,8.787664290777816,33.30062257557909,25.437975578567364,46.71337333518734,53.65100303843298,6.475121056362601,26.82550151921649,57.81358086038037,0.03943256032963707,0.03882818022285139,0.03788744560309333,0.038840312343311284,0.038800869898799266,0.03821822588066816,0.038354889494011724,0.037405389351561256,0.03878198536660087,0.0387420407929923,0.038376002857773546,0.03872552228977567,0.037886681703709284,0.03721124698217194
1713,AYR18487@N,44.18078889006376,23.718107719928966,48.366337311227696,27.903656141092902,20.462681170134793,33.484387369311484,19.067498363080148,40.92536234026959,8.836157778012753,31.624143626571954,56.73743415355557,20.462681170134793,8.836157778012753,33.0193264336266,26.97353426972314,47.901276375542814,53.016946668076514,6.510853099588344,26.97353426972314,58.597677896295096,0.039044107713750345,0.03902073048835115,0.037319013822365785,0.03917008212040185,0.038501709453300115,0.0382618345695272,0.03814482614803516,0.03754253920911282,0.03842647798662489,0.03845868498887374,0.037936818164995945,0.03800029224016886,0.037897327826595044,0.037214619583015356
1714,AYR18511@N,28.007572517158142,14.003786258579071,31.741915519445897,18.204922136152792,14.003786258579071,19.13850788672473,11.669821882149225,33.60908702058977,8.402271755147442,17.738129260866824,35.47625852173365,14.93737200915101,5.601514503431629,24.27322951487039,21.005679387868607,31.275122644159925,43.41173740159512,4.667928752859691,20.53888651258264,41.07777302516528,0.03827790855840156,0.03787435226630812,0.038131591557062465,0.03920406877543594,0.03843664650794291,0.037392121045437765,0.03908765525243694,0.03743360657170785,0.038573901915974394,0.03904217850632518,0.03794033572468207,0.038752737385553196,0.03671944663800744,0.03634057400875514
1715,AYR18400@N,41.97833738571029,22.388446605712154,48.97472694999534,29.384836169997204,20.989168692855145,31.716966024758886,19.589890779998136,41.511911414757954,9.794945389999068,32.183391995711226,54.57183860142338,20.52274272190281,8.395667477142059,34.51552185047291,25.187002431426176,48.97472694999534,55.50469054332805,6.529963593332712,27.052706315235522,60.16895025285142,0.03910528063884336,0.03871608326499731,0.03759470406238861,0.03870670856888798,0.03856533899560995,0.03754616850044849,0.03805305903506986,0.037072233552966405,0.038603936268551534,0.038729186825207026,0.03805552669779935,0.038252545825782344,0.03783581480278351,0.03673744200832789
1716,AYR18481@N,43.44443997742117,22.42293676253996,48.583029652169905,28.962959984947446,21.02150321488121,32.700116112037435,20.55435869899496,42.51015094564867,9.342890317724983,30.83153804849244,54.65590835869114,19.152925151336213,8.875745801838733,34.568694175582436,25.6929483737437,47.18159610451116,56.05734190634989,6.540023222407488,27.094381921402448,60.72878706521239,0.039037052598247204,0.03857215809999473,0.03766559167646168,0.038754506395074176,0.038565794783390284,0.03733102283378755,0.038064893828718645,0.036935811875959186,0.038766510977249424,0.03856335041863318,0.037826002093645845,0.038246951948621495,0.03787164142576872,0.03665419515819867
1717,AYR18499@N,44.454349442821076,21.993204461185165,46.79405204507482,27.140550186143397,21.05732342028367,32.755836431552375,20.121442379382174,43.98640892237033,10.762631970367208,31.35201487020013,57.08874349499128,21.525263940734416,8.422929368113467,32.28789591110163,27.608490706594143,44.92228996327183,56.62080297454053,6.551167286310474,26.672609665692647,59.89638661769577,0.039049391802553145,0.038589702332527266,0.037412363080314634,0.038618294265167004,0.03842079592968613,0.03775331018162879,0.03812336149246703,0.03694183914074854,0.03869505446725815,0.03842979209002027,0.037745285258512846,0.03825736337335761,0.037593538724567534,0.036429387410442875
1718,AYR18412@N,45.52711492873022,24.157244656060936,48.77905170935381,27.409181436684523,20.440745478205407,34.84217979239558,18.58249588927764,41.810615750874696,7.432998355711057,32.05480540900393,56.67661246229681,19.047058286509582,8.82668554740688,32.51936780623588,26.015494244988698,48.31448931212187,52.030988489977396,6.5038735612471745,27.873743833916464,58.070299653992635,0.039194426989345034,0.03911148811997543,0.03757485880266729,0.03881691636116331,0.03831082214221181,0.03791382462090544,0.038348128952067864,0.03748895773795985,0.038724661666152196,0.038541573780852684,0.03795383950567609,0.0384047761359472,0.037956819804617174,0.03709650814851766
1719,AYR18442@N,42.52924645880696,21.96565476443876,50.47427052254013,28.041261401411184,21.030946051058386,31.780096254932673,19.62888298098783,42.52924645880696,9.347087133803727,31.780096254932673,55.147814089441994,20.5635916943682,8.879732777113542,34.584222395073795,25.237135261270065,48.137498739089196,56.08252280282237,6.542960993662609,27.10655268803081,59.82135765634386,0.038819141313646194,0.038756557656176,0.03753085464584568,0.03850599750161587,0.03833977916253207,0.03740681625850023,0.03794530975316624,0.03724783404256002,0.03858885141799865,0.038862168513461824,0.03797889215522521,0.038020822926246964,0.03779098241598134,0.03685163554685728
1720,AYR18418@N,38.413224517220726,15.36528980688829,48.97686125945643,26.40909185558925,19.686777565075623,31.6909102267071,21.60743879093666,48.01653064652591,12.484297968096737,35.052067371963915,65.30248167927523,18.246281645679844,9.123140822839922,35.052067371963915,28.809918387915545,57.13967146936583,51.85785309824798,7.682644903444145,27.36942246851977,58.58016738876161,0.03880981070893701,0.0370766697913564,0.03658139532552234,0.03723758775239184,0.03695029094865857,0.037439100971960404,0.03669597785893619,0.037550699383832264,0.037901806946882236,0.0368067927799481,0.03658269757341223,0.036951471251504116,0.03648178691582181,0.03676860532557743
1721,AYR18406@N,44.18238660957473,23.718965443034854,48.36808639363971,28.369742980884826,20.463421166539874,33.485598272519795,18.603110151399886,40.92684233307975,8.836477321914947,31.625287257379807,56.73948596176965,20.463421166539874,8.836477321914947,33.0205205187348,26.974509719529834,47.90300863985471,53.018863931489676,6.5110885529899605,26.974509719529834,58.599796976909644,0.039039271395456265,0.03901944411571467,0.03731748087295607,0.03916419279481655,0.038515206812714906,0.03827026363884474,0.03814258991505645,0.03755313239456214,0.03842344415613251,0.038452545800532166,0.037934644723993126,0.03799540418932449,0.037888829240576606,0.037205796164322166
1722,AYR18430@N,45.527060292951056,24.1572156656475,48.77899317101899,27.409148543715432,20.440720947855578,34.84213797929928,18.582473588959616,41.81056557515913,7.432989435583846,32.05476694095534,56.21198260660284,19.047035428683607,8.826674954755816,32.519328780679324,26.01546302454346,48.314431331295,52.03092604908692,6.503865756135865,27.873710383439423,58.53479180522279,0.03919784544844702,0.03912421589001031,0.037574887573123425,0.038824882924747006,0.03831000552927495,0.0379105904750508,0.03834923304309094,0.037498760443228224,0.038718316333932135,0.0385329985892964,0.03793879498183456,0.03839881323204129,0.03796215033427651,0.037096665477655916
1723,AYR18424@N,42.46605106168222,22.399675285282928,48.99928968655641,29.399573811933845,20.999695579952746,31.266213419040756,19.599715874622564,41.06607135635203,10.266517839088008,32.19953322259421,54.59920850787714,20.533035678176017,8.399878231981099,34.532832731477846,25.199634695943296,49.46594958833313,55.532528311430596,6.533238624874188,27.066274303050207,59.73246742742114,0.03908478237166325,0.03869803761664317,0.03753072162744365,0.038701330864092894,0.03861608351557226,0.03743987122240063,0.03807548377713888,0.03702911303861827,0.03860125288588232,0.038731681938197454,0.03802334138653314,0.03825582795431421,0.037805619558553855,0.03674695046621842
1724,AYR18448@N,38.892225460162706,15.364829811422304,48.9753950239086,26.408301238382087,19.686188195884828,31.689961486058504,21.606791922312617,47.534942229087754,12.483924221780622,35.05101800730713,65.30052669854479,18.245735401063985,9.122867700531993,35.05101800730713,28.80905589641682,57.137960861226695,51.856300613550275,7.682414905711152,27.36860310159598,58.57841365604754,0.03884444322219819,0.03701168498245137,0.03660332360129582,0.037239799661121516,0.03698404310231686,0.03745517560565754,0.03673033820087231,0.037533202423250416,0.037972069402055546,0.03680895157711883,0.036552807270503744,0.03697435351765771,0.03640661529309677,0.03673226053345626
1725,AYR18479@N,18.66735233578078,11.83783318854391,23.22036510060536,11.382531912061452,8.650724253166704,11.83783318854391,5.918916594271955,18.21205105929832,2.7318076588947484,10.016628082614078,19.12265361226324,7.284820423719329,3.1871089353772066,18.21205105929832,13.203737017991283,21.854461271157987,23.67566637708782,3.6424102118596644,13.659038294473742,25.952172759500108,0.039240092195098365,0.03859907278343106,0.03915611155045979,0.04022484114627936,0.0386593913216784,0.03747903873457072,0.039514387681166746,0.038117729844929234,0.03923177658451863,0.040075633109939564,0.03948585856848016,0.03915743523614563,0.03757108346159434,0.03818627129925003
1726,AML83916@N,38.1213799991175,20.01372449953669,40.503966249062344,23.825862499448437,16.201586499624938,30.497103999294,18.58417274956978,29.067552249327093,10.006862249768345,36.691828249150596,58.13510449865419,14.772034749658031,9.053827749790406,23.825862499448437,19.06068999955875,44.31610424897409,55.75251824870934,3.81213799991175,22.8728279994705,37.16834549913956,0.039288496765170315,0.03772567294597506,0.03673281713200525,0.03675467936037773,0.03780979356857797,0.038101860507091634,0.036008102336642984,0.03736559862301612,0.03813274940885869,0.036558765603085484,0.037977779640006384,0.03748469568448566,0.038691619922387364,0.03485011851335052
1727,ALA49352@N,40.44420017517109,20.68169327139431,35.388675153274704,30.333150131378318,19.30291371996802,32.63111605042213,21.14128645520307,42.28257291040614,8.732270492366485,33.55030241803966,55.151182057051486,23.43925237424688,9.65145685998401,32.63111605042213,28.494777396143267,61.585486630374156,42.28257291040614,4.5959318380876235,35.388675153274704,44.120945645641186,0.03962385897855031,0.04057372268706234,0.0364680032911329,0.03780626633348125,0.03906252851948509,0.03843652947991786,0.037219009926389775,0.03710994852536964,0.03907593702044092,0.039829282946566576,0.038898771803330505,0.03830691509582882,0.039479157143492004,0.038516884440189456
1728,ALA49363@N,40.45698168159886,20.688229268999415,35.399858971399,30.342736261199143,19.309013984399456,32.64142840219908,21.1479676971994,42.2959353943988,9.194768563999741,33.56090525859905,54.708872955798455,23.446659838199338,9.654506992199728,33.101166830399066,28.503782548399197,61.60494937879826,42.2959353943988,4.5973842819998705,34.940120543199015,44.13488910719875,0.03966508492207404,0.040586701552141474,0.03640908031103295,0.0378427059296745,0.03901098764086748,0.038423024027967774,0.03724314599245336,0.037071586807000054,0.03905266939306002,0.03979510956491858,0.03891392011770132,0.03829830802653271,0.03946897036775448,0.038480277146834295
1729,ARJ31774@N,36.60301174463534,20.440642922328827,39.93055826687492,22.817461866785667,16.162368822306515,30.42328248904756,18.539187766763355,28.99719112237345,9.507275777827362,36.60301174463534,57.043654666964166,15.687005033415147,9.031911988935994,23.768189444568403,19.48991534454609,44.6841961557886,56.09292708918143,3.802910311130945,23.292825655677035,38.50446690020081,0.039233971955287425,0.037919192011381365,0.03683978089118353,0.03666140545647466,0.038165072726871474,0.038374127251820746,0.03580677390132298,0.037526737642142434,0.03818145959523721,0.036770407512410286,0.03805014729995114,0.037612460324891656,0.03869319195846241,0.03480148258119456
1730,APY26870@N,32.90433033157971,15.757003257376198,39.392508143440494,22.708622341512754,17.14732707420351,26.87959379199469,18.07420961875505,41.24627323254357,6.488177811860787,36.1484192375101,42.17315577709512,21.318298524685442,8.341942900963868,30.587123970200853,19.92797470785813,48.661333588955905,37.53874305433741,4.170971450481934,28.73335888109777,41.709714504819345,0.037805378810669886,0.038722633977412685,0.03860569920859119,0.03978312541363552,0.03800330277403319,0.03737565271244508,0.0385590412449317,0.03834757602071954,0.038358365980428084,0.03759321029297968,0.037270988441843685,0.03897156243510411,0.03905813786289259,0.03810405254854271
1731,QCQ19888@N,41.34463725581443,18.793016934461104,38.05585929228374,29.129176248414712,20.672318627907217,29.129176248414712,24.900747438160966,46.512716912791234,11.74563558403819,35.7067321754761,61.077305036998595,20.20249320454569,5.6379050803383315,38.05585929228374,24.43092201479944,62.01695588372165,49.80149487632193,5.168079656976804,29.129176248414712,59.66782876691401,0.038572200922225144,0.038526532060127155,0.037788226131085886,0.038792449446116206,0.03719299495794844,0.03767993780585896,0.03692106971024556,0.03772923555079123,0.03849257862133439,0.03770353987522374,0.03773031122072987,0.03728759239949574,0.03779580201289084,0.037962105924399255
1732,AKH45338@N,42.99101744933151,20.093627720883205,38.31808077005634,28.972207411506016,19.626334052955688,28.5049137435785,23.831977064303334,48.13124779653419,12.149635366115426,34.112437758708694,59.34629582679458,20.093627720883205,5.607524015130196,38.31808077005634,25.7011517360134,59.34629582679458,50.93500980409929,5.14023034720268,28.972207411506016,57.009827487157,0.03892027608509302,0.038639339040740045,0.037857026386561216,0.038884863524124375,0.03752493251191807,0.03797219954719236,0.036957146868990445,0.03810452263238918,0.03848313433689194,0.03774679690371091,0.038031071421889474,0.037524414495038634,0.038001888690807534,0.038058719627136584
1733,AKH45344@N,43.2091499229261,18.78658692301135,38.51250319217326,29.588874403742874,19.725916269161917,28.179880384517023,24.422562999914753,47.436131980603655,12.211281499957376,34.28552113449571,61.05640749978688,19.725916269161917,5.635976076903405,38.51250319217326,25.36189234606532,60.5867428267116,50.72378469213064,5.635976076903405,29.11920973066759,57.7687547882599,0.03860313887932207,0.03844295055576892,0.037758438378979374,0.038682888515405835,0.03746149836823673,0.03788896538853849,0.03687287956937666,0.03797915494862973,0.03823511905666457,0.037719733533513565,0.03772224583416121,0.037313808679414834,0.037874642540362206,0.03777986267634213
1734,QCI31469@N,40.49238130368424,20.706331348474894,35.43083364072371,30.36928597776318,19.32590925857657,32.669989460927056,21.16647204510767,42.33294409021534,9.20281393265551,33.59027085419261,55.216883595933055,23.467175528271547,9.662954629288285,32.20984876429428,28.52872319123208,62.118994045424685,42.33294409021534,4.601406966327755,34.970692944090935,44.173506876746444,0.039568977529279466,0.04051716909498047,0.03637069756769788,0.03785935163726057,0.03898502571676752,0.03850570629897474,0.037236364152161076,0.03704590985250437,0.03904230741934966,0.03975876472378263,0.03887586388084372,0.038233740679011675,0.03941719042797535,0.038442234386635486
1735,QCI31480@N,40.468030780631324,20.6938793764592,35.40952693305241,30.351023085473496,19.314287418028588,32.65034301619119,21.15374336260274,42.30748672520548,9.197279722870755,33.57007098847826,55.183678337224535,23.453063293320426,9.657143709014294,32.65034301619119,28.511567140899345,61.62177414323406,42.30748672520548,4.598639861435378,34.94966294690887,44.14694266977963,0.03963782507205654,0.04055347487310962,0.036440185273906044,0.03782263746907545,0.03901163508212861,0.038423621017409065,0.037222019689903775,0.03705773973039821,0.03903934552866075,0.03979309095256136,0.038908701265036,0.038279791390468956,0.03944472958021435,0.03850121693153359
